age_group,years,rate
20-39,2005-2006,29.1
40-59,2005-2006,40.4
60+,2005-2006,33.4
2-5,2005-2006,10.7
6-11,2005-2006,15.1
12-19,2005-2006,17.8
20-39,2007-2008,30.7
40-59,2007-2008,36.2
60+,2007-2008,35.1
2-5,2007-2008,10.1
6-11,2007-2008,19.6
12-19,2007-2008,18.1
20-39,2009-2010,32.6
40-59,2009-2010,36.6
60+,2009-2010,39.7
2-5,2009-2010,12.1
6-11,2009-2010,18
12-19,2009-2010,18.4
20-39,2011-2012,30.3
40-59,2011-2012,39.5
60+,2011-2012,35.4
2-5,2011-2012,8.4
6-11,2011-2012,17.7
12-19,2011-2012,20.5
20-39,2013-2014,34.3
40-59,2013-2014,41
60+,2013-2014,38.5
2-5,2013-2014,9.4
6-11,2013-2014,17.4
12-19,2013-2014,20.6
20-39,2015-2016,35.7
40-59,2015-2016,42.8
60+,2015-2016,41
2-5,2015-2016,13.9
6-11,2015-2016,18.4
12-19,2015-2016,20.6
